Ville,rencontre régulière asso,journée sensibilisation,plan vélo,forfait mobilité agent,pret vélo agent,Note actions mairies
Barème,1,1,1,1,1,NULL
Ambarès-et-Lagrave,non,non,non,non,non,0 %
Ambès,non,non,non,non,non,0 %
Artigues-près-Bordeaux,non,oui,non,non,non,17 %
Bassens,oui,non,non,non,oui,33 %
Bègles,oui,oui,oui,oui,non,83 %
Blanquefort,oui,oui,non,non,non,33 %
Bordeaux,oui,oui,oui,non,oui,83 %
Bouliac,non,non,non,non,non,0 %
Bruges,oui,non,non,non,non,17 %
Carbon-Blanc,non,non,non,non,non,0 %
Cenon,oui,non,non,non,oui,33 %
Eysines,non,non,non,non,non,0 %
Floirac,oui,non,non,oui,oui,50 %
Gradignan,oui,oui,non,non,non,33 %
Le Bouscat,non,non,non,non,non,0 %
Le Haillan,oui,oui,oui,oui,oui,100 %
Le Taillan-Médoc,non,non,non,non,non,0 %
Lormont,oui,oui,oui,oui,non,83 %
Martignas-sur-Jalle,non,non,non,non,non,0 %
Mérignac,oui,non,non,non,non,17 %
Parempuyre,non,non,non,non,non,0 %
Pessac,oui,oui,oui,non,non,67 %
Saint-Aubin de Médoc,non,non,non,non,non,0 %
Saint-Louis-de-Montferrand,non,non,non,non,non,0 %
Saint-Médard-en-Jalles,non,oui,oui,oui,oui,83 %
Saint-Vincent-de-Paul,non,non,non,non,non,0 %
Talence,non,oui,oui,non,non,50 %
Villenave-d'Ornon,non,non,non,non,non,0 %
Moyenne,,,,,,28 %
