Bilan,,"1
ReVE","2
Aménagements","3
Intermodalité","4
Ville apaisée","5
Génération vélo",Bonus,,"Note globale
(sans bonus)",Note globale,,Rang,Code Insee
,,Actions en faveur de l'aménagement du ReVE,Evolution sur le mandat,Actions en faveur de l'intermodalité,Actions en faveur de la ville apaisée,Actions en faveur de l'émergence d'une génération vélo,Actions spécifiques mairie,,Actions en faveur du développement de la pratique du vélo,"Actions en faveur du développement
de la pratique du vélo",,Donné à titre indicatif,
Barème,,2,2,2,2,2,1,,,,,,
Ambarès-et-Lagrave,,52 %,22 %,1 %,1 %,0 %,0 %,,"15,2%",15 %,D,21,33003
Ambès,,0 %,8 %,0 %,1 %,0 %,0 %,,"1,8%",2 %,G,28,33004
Artigues-près-Bordeaux,,73 %,35 %,0 %,24 %,0 %,17 %,,"26,4%",27 %,C,9,33013
Bassens,,61 %,5 %,1 %,2 %,67 %,33 %,,"27,3%",28 %,C,7,33032
Bègles,,49 %,14 %,0 %,49 %,84 %,83 %,,"39,1%",40 %,B,2,33039
Blanquefort,,67 %,12 %,1 %,3 %,0 %,0 %,,"16,6%",17 %,D,19,33056
Bordeaux,,49 %,8 %,44 %,111 %,98 %,83 %,,"62,0%",63 %,A,1,33063
Bouliac,,38 %,1 %,0 %,2 %,0 %,0 %,,"8,1%",8 %,E,26,33065
Bruges,,49 %,14 %,0 %,25 %,0 %,0 %,,"17,7%",18 %,D,16,33069
Carbon-Blanc,,52 %,0 %,0 %,2 %,30 %,0 %,,"16,8%",17 %,D,18,33075
Cenon,,57 %,36 %,2 %,24 %,44 %,33 %,,"32,6%",33 %,C,3,33096
Eysines,,28 %,6 %,0 %,1 %,0 %,0 %,,"7,0%",7 %,E,27,33119
Floirac,,36 %,14 %,0 %,26 %,67 %,50 %,,"28,6%",29 %,C,5,33162
Gradignan,,57 %,11 %,0 %,1 %,30 %,33 %,,"19,9%",20 %,D,14,33167
Le Bouscat,,0 %,25 %,2 %,47 %,4 %,0 %,,"15,6%",16 %,D,20,33192
Le Haillan,,24 %,11 %,0 %,46 %,41 %,100 %,,"24,2%",25 %,C,10,33200
Le Taillan-Médoc,,51 %,25 %,0 %,3 %,30 %,0 %,,"21,9%",22 %,D,13,33249
Lormont,,57 %,4 %,0 %,23 %,53 %,83 %,,"27,5%",28 %,C,6,33273
Martignas-sur-Jalle,,52 %,22 %,22 %,1 %,0 %,0 %,,"19,3%",19 %,D,15,33281
Mérignac,,55 %,15 %,15 %,2 %,50 %,17 %,,"27,3%",28 %,C,8,33312
Parempuyre,,67 %,20 %,0 %,2 %,30 %,0 %,,"24,0%",24 %,D,11,33318
Pessac,,57 %,6 %,44 %,36 %,2 %,67 %,,"29,1%",30 %,C,4,33376
Saint-Aubin de Médoc,,20 %,0 %,0 %,2 %,20 %,0 %,,"8,4%",8 %,E,25,33434
Saint-Louis-de-Montferrand,,20 %,22 %,0 %,4 %,0 %,0 %,,"9,2%",9 %,E,24,33449
Saint-Médard-en-Jalles,,52 %,3 %,0 %,1 %,0 %,0 %,,"11,3%",11 %,E,23,33487
Saint-Vincent-de-Paul,,73 %,0 %,0 %,6 %,30 %,0 %,,"21,9%",22 %,D,12,33519
Talence,,28 %,19 %,4 %,3 %,8 %,50 %,,"12,4%",13 %,E,22,33522
Villenave-d'Ornon,,49 %,6 %,0 %,1 %,30 %,0 %,,"17,4%",17 %,D,17,33550
Moyenne,,46 %,13 %,5 %,16 %,26 %,23 %,,21%,21 %,D,,
