"Ville","1 - ReVE","2 - Aménagements","3 - Intermodalité","4 - Ville apaisée","5 - Génération vélo","Autres",,"Note globale (sans bonus)","Note globale (avec bonus)","Note","Rang", "Code Insee"
,"Actions en faveur de l'aménagement du ReVE","Evolution sur le mandat","Actions en faveur de l'intermodalité","Actions en faveur de la ville apaisée","Actions en faveur de l'émergence d'une génération vélo","Actions spécifiques mairie (bonus)",,"Actions en faveur du développement de la pratique du vélo","Actions en faveur du développement de la pratique du vélo",,"Donné à titre indicatif",
"Barème",2,2,2,2,2,1,,,,,,
Ambarès-et-Lagrave,20 %,22 %,1 %,1 %,0 %,0 %,,"8,8%",9 %,E,22,33003
Ambès,0 %,8 %,0 %,1 %,0 %,0 %,,"1,8%",2 %,G,28,33004
Artigues-près-Bordeaux,70 %,35 %,0 %,30 %,0 %,20 %,,"27,0%",27 %,C,6,33013
Bassens,58 %,5 %,0 %,2 %,0 %,20 %,,"13,0%",13 %,E,15,33032
Bègles,47 %,14 %,0 %,61 %,84 %,80 %,,"41,2%",42 %,B,2,33039
Blanquefort,44 %,12 %,1 %,3 %,0 %,0 %,,"11,9%",12 %,E,17,33056
Bordeaux,47 %,10 %,41 %,111 %,98 %,80 %,,"61,4%",62 %,A,1,33063
Bouliac,36 %,1 %,0 %,2 %,0 %,0 %,,"7,7%",8 %,E,25,33065
Bruges,47 %,14 %,0 %,32 %,0 %,0 %,,"18,5%",19 %,D,13,33069
Carbon-Blanc,20 %,0 %,0 %,2 %,30 %,0 %,,"10,4%",10 %,E,20,33075
Cenon,55 %,36 %,2 %,30 %,44 %,20 %,,"33,4%",34 %,C,3,33096
Eysines,12 %,6 %,0 %,1 %,0 %,0 %,,"3,8%",4 %,F,27,33119
Floirac,20 %,14 %,0 %,33 %,67 %,40 %,,"26,7%",27 %,C,7,33162
Gradignan,20 %,11 %,0 %,1 %,30 %,40 %,,"12,5%",13 %,E,16,33167
Le Bouscat,0 %,25 %,1 %,60 %,4 %,0 %,,"18,1%",18 %,D,14,33192
Le Haillan,23 %,11 %,0 %,58 %,41 %,100 %,,"26,6%",28 %,C,5,33200
Le Taillan-Médoc,64 %,25 %,0 %,3 %,30 %,0 %,,"24,4%",24 %,D,10,33249
Lormont,55 %,4 %,0 %,29 %,40 %,20 %,,"25,6%",26 %,C,9,33273
Martignas-sur-Jalle,50 %,22 %,22 %,1 %,0 %,0 %,,"18,9%",19 %,D,12,33281
Mérignac,53 %,15 %,15 %,2 %,50 %,20 %,,"26,8%",27 %,C,8,33312
Parempuyre,44 %,20 %,0 %,2 %,30 %,0 %,,"19,3%",19 %,D,11,33318
Pessac,55 %,6 %,44 %,45 %,2 %,60 %,,"30,4%",31 %,C,4,33376
Saint-Aubin de Médoc,20 %,0 %,0 %,2 %,20 %,0 %,,"8,4%",8 %,E,24,33434
Saint-Louis-de-Montferrand,20 %,22 %,0 %,4 %,0 %,0 %,,"9,2%",9 %,E,21,33449
Saint-Médard-en-Jalles,20 %,3 %,0 %,1 %,0 %,0 %,,"4,9%",5 %,F,26,33487
Saint-Vincent-de-Paul,20 %,0 %,0 %,6 %,30 %,0 %,,"11,2%",11 %,E,19,33519
Talence,12 %,19 %,0 %,3 %,8 %,40 %,,"8,3%",9 %,E,23,33522
Villenave-d'Ornon,27 %,0 %,0 %,1 %,30 %,0 %,,"11,7%",12 %,E,18,33550
Moyenne,34 %,13 %,5 %,19 %,23 %,19 %,,19%,19 %,D,,
